,ts_code,date,state,close,high,low,rise,drop,wave,ts_name
0,sc.ine,20190603,0,429.6,521.5,447.4,21.39,4.14,10.48,原油
1,au.shf,20190603,2,296.7,294.25,277.8,-0.83,-6.37,1.81,沪金
2,ag.shf,20190603,0,3584.0,3810.0,3468.0,6.31,-3.24,32.87,沪银
3,rb.shf,20190603,0,3707.0,3947.0,3650.0,6.47,-1.54,62.61,螺纹钢
4,zn.shf,20190603,0,20480.0,23280.0,20000.0,13.67,-2.34,340.80,沪锌
5,cu.shf,20190603,0,46130.0,50810.0,46120.0,10.15,-0.02,439.60,沪铜
6,ni.shf,20190603,0,97020.0,106780.0,94540.0,10.06,-2.56,1716.30,沪镍
7,al.shf,20190603,4,14125.0,14420.0,13795.0,2.09,-2.34,106.65,沪铝
8,sn.shf,20190603,0,143080.0,153490.0,142800.0,7.28,-0.2,1219.80,沪锡
9,pb.shf,20190603,0,15960.0,18140.0,15790.0,13.66,-1.07,202.55,沪铅
10,j.dce,20190603,0,2098.5,2362.0,1981.5,12.56,-5.58,46.59,焦炭
11,i.dce,20190603,6,709.0,774.5,613.0,9.24,-13.54,16.84,铁矿
12,bu.shf,20190603,0,2978.0,3678.0,3072.0,23.51,3.16,81.38,沥青
13,zc.zce,20190603,0,574.8,627.6,569.6,9.19,-0.9,7.60,郑煤
14,ta.zce,20190603,0,5190.0,6848.0,5244.0,31.95,1.04,127.94,PTA
15,v.dce,20190603,0,6760.0,7160.0,6725.0,5.92,-0.52,89.55,PVC
16,pp.dce,20190603,0,8057.0,8986.0,8056.0,11.53,-0.01,125.77,PP
17,l.dce,20190603,0,7665.0,8830.0,7650.0,15.2,-0.2,105.15,塑料
18,ma.zce,20190603,0,2306.0,2694.0,2361.0,16.83,2.39,53.36,郑醇
19,eg.dce,20190603,0,4415.0,5457.0,4356.0,23.6,-1.34,79.40,乙二醇
20,m.dce,20190603,6,2959.0,2985.0,2537.0,0.88,-14.26,36.89,豆粕
21,c.dce,20190603,0,1963.0,2021.0,1865.0,2.95,-4.99,16.64,玉米
22,y.dce,20190603,0,5390.0,5872.0,5266.0,8.94,-2.3,63.02,豆油
23,cf.zce,20190603,0,12965.0,16225.0,13245.0,25.14,2.16,193.00,棉花
24,rm.zce,20190603,6,2541.0,2597.0,2161.0,2.2,-14.95,39.28,菜粕
