,trade_date,close,state,key_price,append,stop,profit,wave
214,20190418,278.2,0,287.93,0.00,0.0,279.65,1.88
215,20190419,279.5,0,287.93,0.00,0.0,277.8,1.90
216,20190422,280.3,0,287.93,0.00,0.0,277.8,1.85
217,20190423,279.0,0,287.93,0.00,0.0,277.8,1.82
218,20190424,278.85,0,287.93,0.00,0.0,277.8,1.73
219,20190425,280.4,0,287.93,0.00,0.0,277.8,1.74
220,20190426,281.45,0,287.93,0.00,0.0,277.8,1.73
221,20190429,281.3,0,287.93,0.00,0.0,277.8,1.74
222,20190430,281.55,0,287.93,0.00,0.0,277.8,1.68
223,20190506,286.25,0,287.93,0.00,0.0,277.8,1.66
224,20190507,285.7,0,287.93,0.00,0.0,277.8,1.69
225,20190508,287.15,0,287.93,0.00,0.0,277.8,1.68
226,20190509,287.2,0,287.93,0.00,0.0,277.8,1.70
227,20190510,287.25,0,287.93,0.00,0.0,277.8,1.69
228,20190513,289.2,1,289.50,291.19,284.4214285714286,277.8,1.69
229,20190514,292.75,3,292.89,294.58,287.79428571428565,277.8,1.70
230,20190515,291.25,3,292.89,294.63,287.6657142857142,277.8,1.74
231,20190516,292.35,3,292.89,294.59,287.78142857142853,277.8,1.70
232,20190517,291.7,3,292.89,294.57,287.8371428571428,277.8,1.68
233,20190520,289.4,3,292.89,294.57,287.8371428571428,277.8,1.68
234,20190521,289.15,3,292.89,294.59,287.76857142857136,277.8,1.71
235,20190522,288.9,0,287.81,0.00,0.0,277.9,1.72
236,20190523,289.35,0,287.81,0.00,0.0,277.9,1.71
237,20190524,291.1,0,287.81,0.00,0.0,277.9,1.63
238,20190527,291.25,0,287.81,0.00,0.0,277.9,1.60
239,20190528,291.0,0,287.81,0.00,0.0,278.75,1.59
240,20190529,291.45,0,287.81,0.00,0.0,280.35,1.59
241,20190530,290.1,0,287.81,0.00,0.0,280.35,1.61
242,20190531,293.45,0,287.81,0.00,0.0,280.35,1.63
243,20190603,296.7,2,295.87,297.53,290.8685714285714,284.6,1.67
